id,listingId,day,month,year
1,1,2,6,2020
2,1,14,12,2020
3,1,20,8,2020
4,1,23,8,2020
5,1,27,10,2020
6,1,5,8,2020
7,1,3,9,2020
8,1,10,7,2020
9,1,17,10,2020
10,1,12,6,2020
11,1,21,1,2020
12,1,11,9,2020
13,1,4,3,2020
14,1,2,4,2020
15,1,24,10,2020
16,1,24,11,2020
17,1,18,11,2020
18,1,8,11,2020
19,1,2,3,2020
20,1,9,7,2020
21,1,28,8,2020
22,1,11,1,2020
23,1,21,3,2020
24,1,22,1,2020
25,1,2,7,2020
26,1,18,8,2020
27,1,20,7,2020
28,1,21,4,2020
29,1,5,7,2020
30,1,27,3,2020
31,1,11,5,2020
32,1,16,4,2020
33,1,12,3,2020
34,1,12,7,2020
35,1,24,7,2020
36,1,28,7,2020
37,1,6,7,2020
38,1,25,6,2020
39,1,6,10,2020
40,1,5,5,2020
41,1,9,1,2020
42,1,25,4,2020
43,1,27,11,2020
44,1,18,7,2020
45,1,9,5,2020
46,1,13,7,2020
47,1,15,7,2020
48,1,4,6,2020
49,1,7,11,2020
50,1,13,10,2020
51,1,23,1,2020
52,1,16,6,2020
53,1,24,3,2020
54,1,24,12,2020
55,1,23,3,2020
56,1,22,7,2020
57,1,17,4,2020
58,1,23,4,2020
59,1,12,2,2020
60,1,27,4,2020
61,1,22,5,2020
62,1,22,9,2020
63,1,2,10,2020
64,1,2,2,2020
65,1,24,1,2020
66,1,16,5,2020
67,1,24,5,2020
68,1,10,10,2020
69,1,7,3,2020
70,1,17,12,2020
71,1,20,10,2020
72,1,14,3,2020
73,1,7,10,2020
74,1,23,11,2020
75,1,2,12,2020
76,1,6,11,2020
77,1,5,2,2020
78,1,1,7,2020
79,1,19,3,2020
80,1,19,5,2020
81,2,4,2,2020
82,2,1,10,2020
83,2,9,1,2020
84,2,6,3,2020
85,2,24,4,2020
86,2,24,12,2020
87,2,18,4,2020
88,2,20,2,2020
89,2,2,6,2020
90,2,5,7,2020
91,2,10,11,2020
92,2,14,4,2020
93,2,6,4,2020
94,2,23,8,2020
95,2,25,7,2020
96,2,6,10,2020
97,2,6,9,2020
98,2,15,5,2020
99,2,16,2,2020
100,2,8,1,2020
101,2,26,11,2020
102,2,21,3,2020
103,2,4,6,2020
104,2,15,10,2020
105,2,1,3,2020
106,2,20,4,2020
107,2,5,3,2020
108,2,26,3,2020
109,2,3,3,2020
110,2,22,1,2020
111,2,24,6,2020
112,2,9,9,2020
113,2,4,10,2020
114,2,22,2,2020
115,2,20,11,2020
116,2,11,12,2020
117,2,6,1,2020
118,2,17,2,2020
119,2,26,4,2020
120,2,3,8,2020
121,2,14,2,2020
122,2,3,11,2020
123,2,25,5,2020
124,2,20,7,2020
125,2,15,6,2020
126,2,18,10,2020
127,2,8,7,2020
128,2,20,8,2020
129,2,27,12,2020
130,2,20,1,2020
131,2,11,9,2020
132,2,2,7,2020
133,2,25,9,2020
134,2,20,5,2020
135,2,18,3,2020
136,2,14,5,2020
137,2,7,7,2020
138,2,13,3,2020
139,2,26,8,2020
140,2,8,9,2020
141,2,28,2,2020
142,2,25,6,2020
143,2,23,9,2020
144,2,22,3,2020
145,2,12,3,2020
146,2,13,10,2020
147,2,11,8,2020
148,2,11,3,2020
149,2,24,7,2020
150,2,28,12,2020
151,2,6,7,2020
152,2,10,12,2020
153,2,24,1,2020
154,2,20,9,2020
155,2,7,3,2020
156,2,23,12,2020
157,2,28,7,2020
158,2,13,6,2020
159,2,1,9,2020
160,2,9,2,2020
161,3,15,6,2020
162,3,8,4,2020
163,3,8,6,2020
164,3,13,4,2020
165,3,10,11,2020
166,3,18,11,2020
167,3,6,5,2020
168,3,16,3,2020
169,3,9,10,2020
170,3,10,9,2020
171,3,4,10,2020
172,3,20,4,2020
173,3,18,3,2020
174,3,15,2,2020
175,3,16,1,2020
176,3,20,1,2020
177,3,21,8,2020
178,3,7,9,2020
179,3,6,9,2020
180,3,8,11,2020
181,3,5,11,2020
182,3,15,10,2020
183,3,14,7,2020
184,3,23,6,2020
185,3,9,6,2020
186,3,5,7,2020
187,3,19,6,2020
188,3,25,11,2020
189,3,12,7,2020
190,3,25,1,2020
191,3,24,7,2020
192,3,28,7,2020
193,3,26,11,2020
194,3,15,7,2020
195,3,17,1,2020
196,3,23,8,2020
197,3,19,11,2020
198,3,21,7,2020
199,3,24,12,2020
200,3,22,6,2020
201,3,28,5,2020
202,3,17,2,2020
203,3,28,10,2020
204,3,23,9,2020
205,3,6,11,2020
206,3,20,10,2020
207,3,5,1,2020
208,3,18,8,2020
209,3,10,7,2020
210,3,23,2,2020
211,3,3,11,2020
212,3,27,1,2020
213,3,20,12,2020
214,3,2,2,2020
215,3,22,4,2020
216,3,8,9,2020
217,3,19,5,2020
218,3,13,8,2020
219,3,3,6,2020
220,3,16,7,2020
221,3,1,7,2020
222,3,8,7,2020
223,3,6,1,2020
224,3,7,6,2020
225,3,13,7,2020
226,3,16,11,2020
227,3,22,12,2020
228,3,18,5,2020
229,3,17,5,2020
230,3,26,7,2020
231,3,28,4,2020
232,3,24,11,2020
233,3,6,8,2020
234,3,20,6,2020
235,3,12,3,2020
236,3,5,4,2020
237,3,14,5,2020
238,3,19,2,2020
239,3,17,3,2020
240,3,14,4,2020
241,4,4,1,2020
242,4,3,6,2020
243,4,10,7,2020
244,4,13,2,2020
245,4,16,6,2020
246,4,15,9,2020
247,4,26,3,2020
248,4,18,11,2020
249,4,12,10,2020
250,4,14,2,2020
251,4,12,2,2020
252,4,27,10,2020
253,4,23,2,2020
254,4,14,1,2020
255,4,18,6,2020
256,4,6,12,2020
257,4,18,1,2020
258,4,23,1,2020
259,4,19,9,2020
260,4,11,7,2020
261,4,21,11,2020
262,4,5,9,2020
263,4,1,12,2020
264,4,25,2,2020
265,4,10,1,2020
266,4,21,6,2020
267,4,7,7,2020
268,4,28,12,2020
269,4,10,11,2020
270,4,21,12,2020
271,4,28,5,2020
272,4,20,4,2020
273,4,24,7,2020
274,4,5,4,2020
275,4,20,1,2020
276,4,18,3,2020
277,4,3,12,2020
278,4,14,12,2020
279,4,9,6,2020
280,4,16,5,2020
281,4,5,8,2020
282,4,20,9,2020
283,4,18,10,2020
284,4,25,6,2020
285,4,24,8,2020
286,4,16,1,2020
287,4,21,1,2020
288,4,2,2,2020
289,4,7,1,2020
290,4,1,6,2020
291,4,23,9,2020
292,4,20,6,2020
293,4,28,3,2020
294,4,26,4,2020
295,4,22,7,2020
296,4,1,3,2020
297,4,12,1,2020
298,4,4,8,2020
299,4,8,4,2020
300,4,28,7,2020
301,4,26,8,2020
302,4,20,5,2020
303,4,7,2,2020
304,4,28,2,2020
305,4,12,4,2020
306,4,9,5,2020
307,4,27,9,2020
308,4,26,12,2020
309,4,9,4,2020
310,4,15,5,2020
311,4,18,12,2020
312,4,21,7,2020
313,4,25,8,2020
314,4,23,10,2020
315,4,5,12,2020
316,4,4,6,2020
317,4,19,8,2020
318,4,8,12,2020
319,4,3,9,2020
320,4,6,5,2020
321,5,14,5,2020
322,5,18,4,2020
323,5,14,3,2020
324,5,26,5,2020
325,5,4,1,2020
326,5,2,4,2020
327,5,20,6,2020
328,5,17,8,2020
329,5,20,9,2020
330,5,22,5,2020
331,5,2,11,2020
332,5,16,4,2020
333,5,17,2,2020
334,5,25,8,2020
335,5,25,5,2020
336,5,13,12,2020
337,5,22,9,2020
338,5,19,7,2020
339,5,5,12,2020
340,5,23,8,2020
341,5,21,8,2020
342,5,22,3,2020
343,5,21,11,2020
344,5,10,11,2020
345,5,23,12,2020
346,5,19,2,2020
347,5,12,12,2020
348,5,23,2,2020
349,5,7,1,2020
350,5,16,7,2020
351,5,21,6,2020
352,5,6,6,2020
353,5,24,8,2020
354,5,9,4,2020
355,5,21,10,2020
356,5,26,9,2020
357,5,13,9,2020
358,5,9,3,2020
359,5,15,12,2020
360,5,27,5,2020
361,5,6,3,2020
362,5,5,1,2020
363,5,8,5,2020
364,5,11,1,2020
365,5,25,12,2020
366,5,15,5,2020
367,5,7,6,2020
368,5,16,12,2020
369,5,5,6,2020
370,5,18,6,2020
371,5,17,6,2020
372,5,14,9,2020
373,5,26,8,2020
374,5,9,7,2020
375,5,9,10,2020
376,5,26,1,2020
377,5,7,4,2020
378,5,4,4,2020
379,5,4,5,2020
380,5,12,2,2020
381,5,23,6,2020
382,5,13,7,2020
383,5,5,10,2020
384,5,8,12,2020
385,5,26,6,2020
386,5,16,6,2020
387,5,16,3,2020
388,5,26,10,2020
389,5,9,8,2020
390,5,22,7,2020
391,5,14,8,2020
392,5,24,6,2020
393,5,4,11,2020
394,5,16,2,2020
395,5,13,1,2020
396,5,5,8,2020
397,5,10,8,2020
398,5,28,2,2020
